'frequency','sig_1.db','sig_1.deg','sig_2.db','sig_2.deg','sig_3.db','sig_3.deg','sig_4.db','sig_4.deg'
104.236067398,0,0,-0.0469322764613,-5.95079671159,-0.0469210993003,-6.02584672841,108.321970209,-9.57195774125
105.687597118,0,0,-0.0482411960514,-6.03305696455,-0.0482297054299,-6.10915208481,108.320608118,-9.70464413877
107.159339982,0,0,-0.0495864128215,-6.11643724354,-0.0495745999484,-6.19359202079,108.319208237,-9.83915276698
108.651577465,0,0,-0.0509689216026,-6.20095208241,-0.0509567774405,-6.27918127288,108.317769532,-9.97550793824
110.164594963,0,0,-0.0523897438338,-6.28661617357,-0.0523772590918,-6.36593473895,108.316290937,-10.1137342596
111.698681847,0,-5.08888749034e-014,-0.0538499282374,-6.37344436833,-0.0538370933639,-6.45386747868,108.31477136,-10.2538566351
113.254131515,0,0,-0.0553505515079,-6.46145167735,-0.0553373566837,-6.54299471398,108.313209678,-10.3959002681
114.831241454,0,5.08888749034e-014,-0.0568927190177,-6.55065327092,-0.056879154148,-6.63333182933,108.311604739,-10.5398906636
116.430313292,0,0,-0.0584775655371,-6.64106447916,-0.0584636202441,-6.72489437203,108.309955361,-10.6858536302
118.051652857,0,0,-0.0601062559705,-6.73270079221,-0.0600919195853,-6.81769805241,108.308260329,-10.8338152826
119.695570236,0,5.08888749034e-014,-0.0617799861084,-6.82557786029,-0.0617652476629,-6.91175874397,108.306518397,-10.9838020434
121.362379834,0,0,-0.0634999833949,-6.91971149369,-0.0634848316134,-7.00709248338,108.304728285,-11.1358406453
123.052400436,0,0,-0.0652675077125,-7.01511766269,-0.0652519310032,-7.10371547045,108.302888679,-11.2899581333
124.765955263,0,0,-0.0670838521822,-7.11181249739,-0.067067838628,-7.20164406799,108.300998232,-11.446181866
126.50337204,0,0,-0.0689503439808,-7.2098122874,-0.0689338813305,-7.30089480158,108.299055559,-11.6045395184
128.264983053,0,0,-0.0708683451746,-7.30913348149,-0.0708514208334,-7.40148435926,108.29705924,-11.7650590827
130.051125217,0,0,-0.0728392535701,-7.40979268709,-0.07282185459,-7.50342959103,108.295007818,-11.9277688709
131.862140139,0,0,-0.0748645035818,-7.51180666972,-0.0748466166516,-7.60674750838,108.292899795,-12.0926975159
133.698374182,0,0,-0.0769455671169,-7.61519235227,-0.0769271785523,-7.71145528358,108.290733638,-12.2598739733
135.560178533,0,0,-0.0790839544772,-7.71996681419,-0.0790650502099,-7.81757024895,108.28850777,-12.4293275227
137.447909268,0,0,-0.0812812152786,-7.82614729053,-0.0812617808457,-7.92510989591,108.286220576,-12.6010877692
139.361927422,0,0,-0.0835389393875,-7.93375117085,-0.0835189599208,-8.03409187399,108.283870396,-12.7751846449
141.30259906,0,0,-0.0858587578751,-8.04279599802,-0.0858382180892,-8.14453398964,108.281455528,-12.9516484097
143.270295341,0,0,-0.0882423439889,-8.15329946688,-0.0882212281698,-8.25645420492,108.278974227,-13.1305096524
145.265392595,0,0,-0.090691414142,-8.2652794227,-0.0906697061349,-8.36987063606,108.276424702,-13.3117992921
147.288272391,0,0,-0.0932077289191,-8.37875385951,-0.0931854121164,-8.48480155187,108.273805114,-13.4955485786
149.339321612,0,0,-0.095793094101,-8.49374091834,-0.095770151429,-8.60126537191,108.27111358,-13.6817890932
151.41893253,0,0,-0.0984493617055,-8.61025888516,-0.0984257756119,-8.7192806646,108.268348165,-13.8705527493
153.527502878,0,-2.54444374517e-014,-0.101178431047,-8.72832618875,-0.101154183487,-8.83886614511,108.265506888,-14.061871793
155.665435927,0,0,-0.10398224981,-8.84796139834,-0.103957322233,-8.96004067303,108.262587714,-14.2557788033
157.833140565,0,0,-0.106862815145,-8.96918322109,-0.10683718848,-9.08282324994,108.259588558,-14.452306692
160.031031374,0,0,-0.109822174777,-9.09201049936,-0.109795829419,-9.20723301669,108.256507282,-14.651488704
162.259528708,0,0,-0.112862428132,-9.21646220773,-0.112835343924,-9.33328925054,108.253341693,-14.8533584172
164.519058775,0,0,-0.115985727477,-9.3425574499,-0.1159578837,-9.46101136208,108.250089542,-15.0579497416
166.81005372,0,0,-0.119194279086,-9.4703154553,-0.119165654436,-9.59041889188,108.246748525,-15.2652969194
169.132951703,0,-2.54444374517e-014,-0.122490344406,-9.59975557549,-0.122460916984,-9.721531507,108.24331628,-15.4754345239
171.488196987,0,-2.54444374517e-014,-0.125876241254,-9.73089728033,-0.125845988547,-9.85436899719,108.239790383,-15.6883974587
173.876240022,0,0,-0.129354345018,-9.86376015391,-0.129323243882,-9.98895127086,108.236168353,-15.9042209564
176.297537529,0,0,-0.132927089881,-9.9983638902,-0.132895116521,-10.1252983508,108.232447646,-16.1229405776
178.75255259,0,0,-0.136596970049,-10.1347282884,-0.136564100003,-10.2634303698,108.228625652,-16.3445922089
181.241754737,0,0,-0.140366541001,-10.2728732483,-0.140332749123,-10.4033675655,108.224699702,-16.5692120617
183.765620039,0,-2.54444374517e-014,-0.144238420752,-10.4128187647,-0.144203681189,-10.5451302757,108.220667057,-16.7968366694
186.324631193,0,0,-0.14821529112,-10.5545849224,-0.148179577293,-10.6887389327,108.216524913,-17.0275028859
188.919277621,0,0,-0.15229989901,-10.6981918903,-0.152263183598,-10.8342140576,108.212270395,-17.2612478823
191.550055557,0,0,-0.156495057712,-10.8436599151,-0.156457312625,-10.9815762548,108.207900561,-17.4981091448
194.217468149,0,0,-0.160803648201,-10.9910093155,-0.160764844561,-11.1308462049,108.203412396,-17.7381244713
196.922025548,0,0,-0.165228620449,-11.1402604747,-0.165188728569,-11.2820446587,108.198802812,-17.9813319679
199.664245011,0,0,-0.169772994747,-11.2914338343,-0.169731984109,-11.43519243,108.194068649,-18.2277700453
202.444650998,0,0,-0.174439863032,-11.4445498858,-0.17439770226,-11.5903103883,108.189206668,-18.4774774152
205.263775271,0,-2.54444374517e-014,-0.179232390215,-11.599629164,-0.179189047053,-11.747419451,108.184213556,-18.7304930857
208.122156999,0,0,-0.18415381552,-11.756692238,-0.184109256809,-11.9065405754,108.17908592,-18.9868563565
211.020342857,0,0,-0.189207453824,-11.915759703,-0.189161645474,-12.0676947505,108.173820287,-19.2466068145
213.958887134,0,0,-0.194396696991,-12.0768521713,-0.194349603956,-12.2309029876,108.168413103,-19.509784328
216.938351839,0,0,-0.19972501522,-12.2399902633,-0.199676601471,-12.3961863119,108.162860732,-19.7764290415
219.959306803,0,0,-0.205195958373,-12.4051945973,-0.205146186871,-12.5635657519,108.157159451,-20.0465813693
223.022329797,0,0,-0.210813157317,-12.5724857797,-0.210761989985,-12.7330623301,108.151305453,-20.3202819897
226.128006634,0,0,-0.216580325248,-12.7418843942,-0.216527722939,-12.9046970519,108.145294845,-20.5975718376
